crop,change,sd_change,difference,sd_difference,RCP,Time,sig
W-NCP,2.665077313,0.969294331,0.839858414,0.964690244,RCP2.6,2050,yes
W-YZB,-1.33587266,0.958533216,2.053440775,0.89251719,RCP2.6,2050,yes
W-NWC,-1.307464023,1.517040772,4.020803137,2.646491616,RCP2.6,2050,yes
M-NEC,0.301077797,1.52620965,0.189863262,0.587284529,RCP2.6,2050,no
M-NCP,-1.519182277,0.645576409,1.096446976,0.19527537,RCP2.6,2050,yes
M-SWC,-1.033957071,0.426353434,-0.028617413,0.422167996,RCP2.6,2050,no
SR-YZB,-2.476608132,0.335715844,-0.119908767,0.308818019,RCP2.6,2050,no
ER-SC,-0.015869763,0.449560824,0.484416562,0.198479353,RCP2.6,2050,yes
LR-SC,4.06594575,0.816828018,0.576108721,0.188573412,RCP2.6,2050,yes
W-NCP,2.698466606,0.989127581,0.551454779,1.101620189,RCP2.6,2100,yes
W-YZB,-1.112711386,0.723793087,1.729999565,0.990856272,RCP2.6,2100,yes
W-NWC,-1.419629283,1.118843234,4.064436625,2.231096373,RCP2.6,2100,yes
M-NEC,0.581696537,1.697419987,0.081027895,0.694247975,RCP2.6,2100,no
M-NCP,-0.886394964,0.772775095,1.268238256,0.248455788,RCP2.6,2100,yes
M-SWC,-0.929337853,0.330788661,0.014966555,0.330822752,RCP2.6,2100,no
SR-YZB,-2.185858727,0.432034924,-0.282263426,0.332235471,RCP2.6,2100,no
ER-SC,0.332776383,0.484854869,0.442018879,0.175265937,RCP2.6,2100,no
LR-SC,4.282504946,0.748377647,0.512131021,0.137995986,RCP2.6,2100,yes
W-NCP,1.458046885,1.243210999,1.564835166,0.694872392,RCP8.5,2050,yes
W-YZB,-0.98957565,0.968195765,1.392002327,1.304764404,RCP8.5,2050,yes
W-NWC,-1.644840572,0.958428079,4.04406384,2.62922747,RCP8.5,2050,yes
M-NEC,1.692444897,1.715224097,0.735381503,0.664362175,RCP8.5,2050,no
M-NCP,-2.596104354,0.615606278,1.020715738,0.22264105,RCP8.5,2050,yes
M-SWC,-1.556255629,0.346285692,0.384360648,0.6002125,RCP8.5,2050,no
SR-YZB,-4.244152826,0.58315455,-0.057671159,0.199807363,RCP8.5,2050,no
ER-SC,0.020795819,0.380146079,0.60816553,0.139970414,RCP8.5,2050,yes
LR-SC,5.840401318,0.820660177,0.226434064,0.204374915,RCP8.5,2050,yes
W-NCP,0.63837303,1.21372267,2.113728642,1.013282494,RCP8.5,2100,yes
W-YZB,-5.540929036,1.006018561,-0.212699732,0.604299957,RCP8.5,2100,no
W-NWC,-3.906362129,2.034170259,2.052667991,1.939015727,RCP8.5,2100,yes
M-NEC,-2.120915106,2.401545728,2.510690003,0.863603883,RCP8.5,2100,yes
M-NCP,-2.363984312,0.847844343,1.012901913,0.316360394,RCP8.5,2100,yes
M-SWC,-5.042872058,0.572987155,0.446718643,0.446234493,RCP8.5,2100,no
SR-YZB,-6.899379579,0.499923697,0.004306504,0.253221717,RCP8.5,2100,no
ER-SC,0.170587011,0.339172322,0.721192254,0.268050541,RCP8.5,2100,yes
LR-SC,8.617377456,0.374543972,-0.392813394,0.306341196,RCP8.5,2100,no
